condition|pulmonary|transplant|year_verification
major depressive disorder (mdd)|N|N|Both
myelodysplastic/myeloproliferative neoplasm, unclassifiable|N|N|Both
neurofibromatosis type 1|N|N|Both
nonsmall cell lung cancer|N|N|New only
nutrition|N|N|Both
pharmacodynamics|N|N|Both
postmenopausal|N|N|Both
recurrent renal cell carcinoma|N|N|New only
recurrent uterine corpus carcinoma|N|N|New only
seasonal influenza|N|N|Both
sedentary|N|N|Both
stage iii marginal zone lymphoma|N|N|Both
stage iiic fallopian tube cancer|N|N|New only
stage iv adult burkitt lymphoma|N|N|Both
stage iv marginal zone lymphoma|N|N|Both
stage iv squamous cell carcinoma of the hypopharynx|N|N|New only
stage ivb rectal cancer|N|N|New only
untreated adult acute lymphoblastic leukemia|N|N|New only
advanced adult hepatocellular carcinoma|N|N|New only
advanced breast cancer|N|N|Both
benign prostatic hyperplasia (bph)|N|N|Both
cannabis|N|N|New only
cervical adenocarcinoma|N|N|New only
cognitive decline|N|N|Both
community-acquired pneumonia|Y|N|Both
coronary artery bypass grafting|N|N|Both
cutaneous t-cell lymphoma|N|N|Both
estrogen receptor-positive breast cancer|N|N|New only
exudative age-related macular degeneration|N|N|New only
female infertility|N|N|New only
haemophilia b|N|N|New only
healthy controls|N|N|Both
laparoscopic cholecystectomy|N|N|Both
melasma|N|N|Both
metastatic prostate carcinoma|N|N|New only
metastatic renal cell cancer|N|N|New only
mitral regurgitation|N|N|Both
nephropathy|N|N|Both
neuromuscular disease|N|N|Both
neurotoxicity|N|N|Both
nicotine addiction|N|N|New only
noncontiguous stage ii mantle cell lymphoma|N|N|Both
noncontiguous stage ii small lymphocytic lymphoma|N|N|Both
obstructive sleep apnea (osa)|Y|N|Both
oral cancer|N|N|Both
posttraumatic stress disorders|N|N|Both
prostate neoplasms|N|N|New only
relapsing multiple sclerosis|N|N|Both
rhinosinusitis|N|N|Both
skin laxity|N|N|New only
solid cancers|N|N|Both
solid neoplasm|N|N|New only
stage i breast cancer|N|N|Both
stage i chronic lymphocytic leukemia|N|N|Both
stage ii chronic lymphocytic leukemia|N|N|Both
stage iii adult burkitt lymphoma|N|N|Both
stage iii adult diffuse small cleaved cell lymphoma|N|N|Both
stage iii adult soft tissue sarcoma|N|N|New only
stage iii breast cancer|N|N|New only
stage iii squamous cell carcinoma of the oropharynx|N|N|New only
stage iiia fallopian tube cancer|N|N|New only
stage iiib fallopian tube cancer|N|N|New only
stage iiic skin melanoma|N|N|New only
stage iv adult diffuse small cleaved cell lymphoma|N|N|Both
tolerability|N|N|Both
undifferentiated ovarian carcinoma|N|N|New only
weight|N|N|New only
acute myelogenous leukemia (aml)|N|N|New only
adhesive capsulitis|N|N|Both
adolescent idiopathic scoliosis|N|N|New only
advanced non-small cell lung cancer|N|N|Both
ageing|N|N|New only
airway morbidity|N|N|New only
branch retinal vein occlusion|N|N|Both
cancer of the breast|N|N|Both
cancer of the prostate|N|N|Both
cardiac disease|N|N|Both
cesarean delivery|N|N|Both
chronic kidney failure|N|N|Both
claudication|N|N|New only
cognitive ability, general|N|N|New only
congenital heart defects|N|N|New only
contrast induced nephropathy|N|N|Both
copd exacerbation|Y|N|New only
diarrhoea|N|N|Both
education|N|N|New only
erosive esophagitis|N|N|New only
hypertrophic cardiomyopathy|N|N|Both
hypoactive sexual desire disorder|N|N|Both
ileostomy - stoma|N|N|New only
intraventricular hemorrhage|N|N|Both
knee arthroplasty|N|N|Both
locally advanced malignant neoplasm|N|N|New only
malignant pleural effusion|Y|N|New only
mental illness|N|N|New only
neoplasms, breast|N|N|Both
noncontiguous stage ii adult diffuse large cell lymphoma|N|N|Both
opioid-induced constipation|N|N|Both
perioperative/postoperative complications|N|N|Both
physical disability|N|N|New only
polio|N|N|New only
pre-hypertension|N|N|Both
prostate cancer metastatic|N|N|New only
recurrent chronic lymphocytic leukemia|N|N|New only
recurrent glioblastoma|N|N|Both
recurrent squamous cell carcinoma of the lip and oral cavity|N|N|New only
rhinoconjunctivitis|N|N|Both
specific phobia|N|N|New only
squamous cell lung cancer|N|N|New only
stage iii adult diffuse mixed cell lymphoma|N|N|Both
stage iii adult hodgkin lymphoma|N|N|Both
stage iii adult immunoblastic large cell lymphoma|N|N|Both
stage iii squamous cell carcinoma of the lip and oral cavity|N|N|New only
stage iv adult diffuse mixed cell lymphoma|N|N|Both
stage iv adult hodgkin lymphoma|N|N|Both
stage iv adult immunoblastic large cell lymphoma|N|N|Both
stage iv colon cancer|N|N|Both
stage iv gastric cancer|N|N|New only
valvular heart disease|N|N|New only
adult mixed glioma|N|N|Both
adverse effects|N|N|New only
alcoholic hepatitis|N|N|New only
all|N|N|Both
anterior cruciate ligament injury|N|N|New only
autosomal dominant polycystic kidney disease|N|N|Both
becker muscular dystrophy|N|N|Both
bile duct cancer|N|N|Both
carcinoma, non-small cell lung|N|N|Both
chronic plaque psoriasis|N|N|Both
diabetes prevention|N|N|Both
diastolic dysfunction|N|N|Both
diffuse intrinsic pontine glioma|N|N|New only
disorder related to renal transplantation|Y|Y|New only
endometrial carcinoma|N|N|New only
endometrial clear cell adenocarcinoma|N|N|New only
esophageal carcinoma|N|N|Both
gynecologic cancer|N|N|New only
healthy male volunteers|N|N|New only
healthy, no evidence of disease|N|N|Both
hemophilia|N|N|Both
impaired cognition|N|N|New only
induction of labor|N|N|Both
intubation complication|Y|N|New only
local anesthesia|N|N|New only
lung adenocarcinoma|N|N|New only
lymphoproliferative disorder|N|N|Both
memory impairment|N|N|New only
meniere's disease|N|N|New only
mitral valve regurgitation|N|N|Both
nausea and vomiting|N|N|Both
non alcoholic fatty liver disease|N|N|New only
non small cell lung cancer (nsclc)|N|N|Both
oppositional defiant disorder|N|N|Both
pathological gambling|N|N|Both
patient satisfaction|N|N|New only
pharmacokinetics of isavuconazole|N|N|New only
premature birth of newborn|N|N|New only
preterm labor|N|N|New only
primary hyperparathyroidism|N|N|Both
prostate carcinoma|N|N|New only
recurrent diffuse large b-cell lymphoma|N|N|New only
recurrent ovarian germ cell tumor|N|N|Both
recurrent renal cell cancer|N|N|New only
recurrent verrucous carcinoma of the oral cavity|N|N|New only
relapse|N|N|Both
respiratory depression|Y|N|New only
secondary progressive multiple sclerosis|N|N|Both
sleep disturbance|N|N|New only
stage iva cervical cancer|N|N|New only
systolic heart failure|N|N|New only
type2 diabetes|N|N|New only
venous leg ulcer|N|N|New only
waldenstrom's macroglobulinemia|N|N|Both
zinc deficiency|N|N|Both
acquired brain injury|N|N|New only
anaplastic oligoastrocytoma|N|N|New only
axial spondyloarthritis|N|N|New only
b-cell adult acute lymphoblastic leukemia|N|N|New only
bioequivalence|N|N|New only
castration-resistant prostate cancer|N|N|New only
childhood acute lymphoblastic leukemia in remission|N|N|Both
childhood acute myeloid leukemia in remission|N|N|Both
chronic graft versus host disease|N|N|New only
chronic obstructive lung disease|Y|N|New only
colorectal cancer screening|N|N|Both
coronary artery disease (cad)|N|N|Both
cytomegalovirus infection|N|N|Both
diabetic gastroparesis|N|N|Both
diabetic polyneuropathy|N|N|Both
distress|N|N|Both
duct cell adenocarcinoma of the pancreas|N|N|New only
ductal carcinoma in situ|N|N|Both
endometrial serous adenocarcinoma|N|N|New only
esrd|N|N|Both
evidence of liver transplantation|Y|Y|New only
fed|N|N|New only
femoral neck fracture|N|N|Both
friedreich's ataxia|N|N|Both
hypertension, resistant to conventional therapy|N|N|New only
infantile colic|N|N|Both
invasive breast cancer|N|N|Both
juvenile myelomonocytic leukemia|N|N|Both
lateral epicondylitis|N|N|Both
left ventricular dysfunction|N|N|Both
lymphocytic leukemia, chronic|N|N|Both
malignant solid tumor|N|N|New only
mantle-cell lymphoma|N|N|Both
metabolic disease|N|N|New only
metastases|N|N|Both
myelodysplasia|N|N|Both
myocardial injury|N|N|Both
nasolabial folds|N|N|Both
noncontiguous stage ii grade 1 follicular lymphoma|N|N|Both
noncontiguous stage ii grade 2 follicular lymphoma|N|N|Both
noncontiguous stage ii grade 3 follicular lymphoma|N|N|Both
osteoarthritis of knee|N|N|New only
peripheral arterial occlusive disease|N|N|Both
post-traumatic arthritis|N|N|Both
recurrent squamous cell carcinoma of the oropharynx|N|N|New only
refractory diffuse large b-cell lymphoma|N|N|New only
renal transplant rejection|Y|Y|New only
restenosis|N|N|Both
rupture of anterior cruciate ligament|N|N|New only
separation anxiety disorder|N|N|Both
sleep disorder|N|N|Both
st-segment elevation myocardial infarction|N|N|New only
stable angina pectoris|N|N|New only
stage i small lymphocytic lymphoma|N|N|Both
stage iiib skin melanoma|N|N|New only
stage iv primary peritoneal cancer|N|N|New only
stage iv rectal cancer|N|N|Both
stage iv squamous cell carcinoma of the nasopharynx|N|N|New only
temporomandibular disorders|N|N|Both
type 2 diabetes mellitus (t2dm)|N|N|Both
upper respiratory tract infections|Y|N|Both
venous ulcer|N|N|Both
wound|N|N|Both
ards|Y|N|New only
burn injury|N|N|New only
cardiovascular risk factor|N|N|New only
carotid artery stenosis|N|N|Both
cervical adenosquamous carcinoma|N|N|New only
cervical dystonia|N|N|Both
child maltreatment|N|N|New only
chronic venous insufficiency|N|N|New only
cognitive disorders|N|N|New only
early gastric cancer|N|N|New only
ebola virus disease|N|N|New only
endometrial adenocarcinoma|N|N|New only
facial wrinkles|N|N|Both
frailty|N|N|Both
glabellar frown lines|N|N|New only
healthy adult subjects|N|N|New only
heart failure, congestive|N|N|Both
intensive care|N|N|New only
intimate partner violence|N|N|New only
intrahepatic cholangiocarcinoma|N|N|New only
invasive breast carcinoma|N|N|New only
lobular breast carcinoma in situ|N|N|New only
musculoskeletal disorders|N|N|New only
myofascial pain syndrome|N|N|New only
neoplasm malignant|N|N|New only
non hodgkin lymphoma|N|N|Both
noncontiguous stage ii adult burkitt lymphoma|N|N|Both
noncontiguous stage ii adult lymphoblastic lymphoma|N|N|Both
noncontiguous stage ii marginal zone lymphoma|N|N|Both
oral lichen planus|N|N|New only
peritoneal cavity cancer|N|N|Both
rectal adenocarcinoma|N|N|New only
recurrent childhood lymphoblastic lymphoma|N|N|Both
recurrent neuroblastoma|N|N|New only
recurrent pancreatic carcinoma|N|N|New only
recurrent squamous cell carcinoma of the larynx|N|N|New only
recurrent verrucous carcinoma of the larynx|N|N|New only
refractory hodgkin lymphoma|N|N|New only
refractory solid tumors|N|N|Both
secondary hypogonadism|N|N|Both
sore throat|N|N|Both
stage iiib rectal cancer|N|N|New only
subacromial impingement syndrome|N|N|New only
transitional cell carcinoma|N|N|Both
urinary stress incontinence|N|N|New only
urothelial cancer|N|N|Both
visceral leishmaniasis|N|N|Both
wheezing|Y|N|Both
acupuncture|N|N|New only
adult grade iii lymphomatoid granulomatosis|N|N|New only
adult growth hormone deficiency|N|N|New only
advanced adult primary liver cancer|N|N|New only
advanced colorectal cancer|N|N|Both
adverse anesthesia outcome|N|N|New only
cancer of pancreas|N|N|New only
carotid artery disease|N|N|Both
cerebral stroke|N|N|Both
cerebral vasospasm|N|N|Both
child abuse|N|N|New only
chronic illness|N|N|New only
chronic stable angina|N|N|New only
chronic urticaria|N|N|Both
cocaine abuse|N|N|New only
cocaine use disorder|N|N|New only
coronary arteriosclerosis|N|N|Both
dietary habits|N|N|New only
esophagus cancer|N|N|New only
ewing's sarcoma|N|N|Both
functional gastrointestinal disorders|N|N|New only
gbm|N|N|Both
hbv|N|N|New only
hcv|N|N|Both
hormone refractory prostate cancer|N|N|Both
human influenza|N|N|New only
hypogonadotropic hypogonadism|N|N|New only
infant|N|N|New only
infant, low birth weight|N|N|New only
infectious diseases|N|N|Both
inflammatory response|N|N|Both
intracranial aneurysms|N|N|New only
labor|N|N|Both
left ventricular hypertrophy|N|N|Both
lumbar disc herniation|N|N|New only
marijuana dependence|N|N|Both
metastatic castration-resistant prostate cancer|N|N|New only
metastatic disease|N|N|New only
methamphetamine abuse|N|N|New only
neurogenic bladder|N|N|Both
non hodgkin's lymphoma|N|N|Both
noncontiguous stage ii adult diffuse mixed cell lymphoma|N|N|Both
noncontiguous stage ii adult diffuse small cleaved cell lymphoma|N|N|Both
noncontiguous stage ii adult immunoblastic large cell lymphoma|N|N|Both
noncutaneous extranodal lymphoma|N|N|New only
older adults|N|N|New only
painful bladder syndrome|N|N|New only
painful diabetic neuropathy|N|N|Both
pancreatic neoplasm|N|N|Both
papulopustular rosacea|N|N|New only
partial epilepsy|N|N|Both
postoperative delirium|N|N|New only
postpartum haemorrhage|N|N|New only
prostatic neoplasm|N|N|New only
psychological distress|N|N|New only
rectal carcinoma|N|N|New only
recurrent hodgkin lymphoma|N|N|New only
recurrent ovarian cancer|N|N|New only
recurrent salivary gland cancer|N|N|New only
recurrent squamous cell carcinoma of the hypopharynx|N|N|New only
recurrent/refractory childhood hodgkin lymphoma|N|N|New only
respiratory disorders|Y|N|New only
sarcoma, soft tissue|N|N|New only
stage iii squamous cell carcinoma of the hypopharynx|N|N|New only
stage iii squamous cell carcinoma of the larynx|N|N|New only
stage iii verrucous carcinoma of the oral cavity|N|N|New only
stage iiia rectal cancer|N|N|New only
stage iiia skin melanoma|N|N|New only
stage iiic primary peritoneal cancer|N|N|New only
stage iiic rectal cancer|N|N|New only
stage iva squamous cell carcinoma of the oropharynx|N|N|New only
stenosis|N|N|New only
surgical procedure, unspecified|N|N|New only
synovial sarcoma|N|N|New only
toxicity|N|N|New only
tracheal intubation|Y|N|Both
vaginal cancer|N|N|Both
vascular dementia|N|N|New only
venous leg ulcers|N|N|New only
abdominal aortic aneurysms|N|N|Both
acinar cell adenocarcinoma of the pancreas|N|N|New only
acne scars|N|N|New only
acute appendicitis|N|N|New only
acute gastroenteritis|N|N|New only
acute lymphoid leukemia|N|N|New only
acute myeloid leukemia arising from previous myelodysplastic syndrome|N|N|New only
adult|N|N|New only
advanced malignant solid neoplasm|N|N|New only
advanced solid tumours|N|N|Both
aneurysmal subarachnoid hemorrhage|N|N|Both
ankle fracture|N|N|New only
antibiotic-associated diarrhea|N|N|Both
attention deficit/hyperactivity disorder|N|N|Both
blood glucose|N|N|New only
brca1 mutation carrier|N|N|Both
brca2 mutation carrier|N|N|Both
burkitt's lymphoma|N|N|New only
cardiac failure|N|N|New only
cardiovascular risk|N|N|Both
cervical radiculopathy|N|N|New only
chemotherapy-induced neutropenia|N|N|New only
chronic diseases|N|N|New only
chronic hepatitis c virus|N|N|New only
complex regional pain syndrome|N|N|Both
complication|N|N|New only
cow's milk allergy|N|N|New only
defect of articular cartilage|N|N|New only
end stage renal disease (esrd)|N|N|New only
esophageal adenocarcinoma|N|N|New only
executive dysfunction|N|N|New only
gastric ulcer|N|N|Both
geriatric disorder|N|N|New only
giant cell glioblastoma|N|N|New only
growth hormone disorder|N|N|New only
health|N|N|New only
healthy male subjects|N|N|New only
healthy men|N|N|New only
healthy subject|N|N|New only
hepatic cirrhosis|N|N|Both
her2/neu positive|N|N|New only
human epidermal growth factor 2 negative carcinoma of breast|N|N|New only
hypoxic ischemic encephalopathy|N|N|New only
hypoxic-ischemic encephalopathy|N|N|Both
immune thrombocytopenic purpura|N|N|Both
infant development|N|N|New only
inflammatory breast cancer|N|N|New only
iron-deficiency anemia|N|N|Both
laparoscopic surgery|N|N|Both
low birth weight|N|N|Both
malignant neoplasm of breast|N|N|New only
medical abortion|N|N|Both
muscle damage|N|N|New only
myeloproliferative neoplasm|N|N|New only
osa|Y|N|New only
ovarian clear cell cystadenocarcinoma|N|N|New only
ovarian serous cystadenocarcinoma|N|N|New only
pancreatic carcinoma|N|N|New only
parkinson's disease (pd)|N|N|New only
premature ovarian failure|N|N|Both
preterm delivery|N|N|Both
primary hypercholesterolemia|N|N|Both
primary open-angle glaucoma|N|N|New only
recurrent childhood large cell lymphoma|N|N|Both
recurrent childhood small noncleaved cell lymphoma|N|N|Both
recurrent osteosarcoma|N|N|New only
recurrent squamous cell carcinoma of the nasopharynx|N|N|New only
respiratory infection|Y|N|Both
rheumatoid arthritis (ra)|N|N|New only
salivary gland squamous cell carcinoma|N|N|New only
satiety|N|N|Both
sensorineural hearing loss|N|N|New only
severe obesity|N|N|New only
sleep-disordered breathing|Y|N|New only
smoldering multiple myeloma|N|N|New only
spondyloarthritis|N|N|Both
stage i mantle cell lymphoma|N|N|Both
stage iiia primary peritoneal cancer|N|N|New only
stage iiib primary peritoneal cancer|N|N|New only
stage iiic melanoma|N|N|New only
stage iv cutaneous melanoma ajcc v6 and v7|N|N|New only
stage iv ovarian epithelial cancer|N|N|Both
stage ivb squamous cell carcinoma of the oropharynx|N|N|New only
surgical site infections|N|N|New only
telemedicine|N|N|New only
total hip replacement|N|N|New only
undernutrition|N|N|New only
unresectable solid neoplasm|N|N|New only
vaginal atrophy|N|N|New only
vascular access complication|N|N|New only
vulvar cancer|N|N|Both
acute hiv infection|N|N|Both
acute liver failure|N|N|New only
acute mountain sickness|N|N|Both
allergies|N|N|Both
anesthesia intubation complication|Y|N|New only
attention deficit disorder|N|N|Both
back pain lower back chronic|N|N|New only
body composition, beneficial|N|N|New only
breast tumors|N|N|Both
cerebral aneurysm|N|N|New only
cervical dysplasia|N|N|New only
cervix cancer|N|N|New only
childhood cancer|N|N|New only
childhood chronic myelogenous leukemia|N|N|Both
chlamydia|N|N|New only
chronic eosinophilic leukemia|N|N|Both
chronic graft-versus-host disease|Y|Y|New only
cognitive deficits|N|N|New only
cognitive/functional effects|N|N|Both
colorectal adenocarcinoma|N|N|New only
congenital hip dysplasia|N|N|Both
contiguous stage ii mantle cell lymphoma|N|N|Both
contiguous stage ii small lymphocytic lymphoma|N|N|Both
cushing's disease|N|N|New only
degenerative joint disease|N|N|New only
dementia with lewy bodies|N|N|Both
developmental delay|N|N|New only
distal radius fractures|N|N|Both
eating disorder|N|N|New only
end-stage kidney disease|N|N|New only
familial hypercholesterolemia|N|N|Both
femoroacetabular impingement|N|N|New only
head injury|N|N|New only
head lice|N|N|Both
healthy individuals|N|N|New only
hematological malignancy|N|N|Both
high grade glioma|N|N|New only
kawasaki disease|N|N|New only
liver dysfunction|N|N|New only
lynch syndrome|N|N|New only
major depressive episode|N|N|Both
male pattern baldness|N|N|New only
malignant female reproductive system neoplasm|N|N|New only
merkel cell carcinoma|N|N|New only
metastatic malignant solid neoplasm|N|N|New only
nasopharyngeal cancer|N|N|Both
oesophageal cancer|N|N|New only
osteoarthrosis|N|N|New only
ovarian seromucinous carcinoma|N|N|New only
parastomal hernia|N|N|Both
postural tachycardia syndrome|N|N|Both
progesterone receptor positive|N|N|New only
recurrent follicular lymphoma|N|N|New only
recurrent malignant solid neoplasm|N|N|New only
renal disease|N|N|New only
resistant hypertension|N|N|Both
rotavirus gastroenteritis|N|N|Both
secondary myelofibrosis|N|N|Both
severe hemophilia a|N|N|Both
spina bifida|N|N|Both
stage iib pancreatic cancer|N|N|New only
stage iii cutaneous t-cell non-hodgkin lymphoma|N|N|Both
stage iii verrucous carcinoma of the larynx|N|N|New only
stage iiia colon cancer|N|N|New only
stage iiic colon cancer|N|N|New only
stage iiic cutaneous melanoma ajcc v7|N|N|New only
stage iv cutaneous t-cell non-hodgkin lymphoma|N|N|Both
stage iv non-small cell lung cancer ajcc v7|N|N|New only
stage iv ovarian germ cell tumor|N|N|New only
stage ivb cervical cancer|N|N|New only
stage ivb squamous cell carcinoma of the lip and oral cavity|N|N|New only
tbi|N|N|New only
tolerance|N|N|New only
traumatic arthritis|N|N|Both
unstable angina pectoris|N|N|New only
vestibular schwannoma|N|N|New only
acquired bleeding disorder|N|N|New only
acute migraine|N|N|New only
adenocarcinoma of the lung|N|N|New only
advanced melanoma|N|N|Both
allogeneic stem cell transplantation|N|N|Both
als|N|N|Both
arrhythmias|N|N|New only
avian influenza|N|N|New only
bacterial conjunctivitis|N|N|Both
benign prostatic hypertrophy|N|N|New only
bladder carcinoma|N|N|New only
breast augmentation|N|N|Both
cancer cachexia|N|N|New only
cancer of breast|N|N|New only
cannabis use disorder|N|N|New only
cerebral ischemia|N|N|New only
cerebrovascular stroke|N|N|Both
cervical carcinoma|N|N|New only
cervical squamous cell carcinoma, not otherwise specified|N|N|New only
childhood diffuse large cell lymphoma|N|N|New only
childhood myelodysplastic syndromes|N|N|Both
chronic kidney diseases|N|N|New only
chronic neutrophilic leukemia|N|N|Both
classical hodgkin lymphoma|N|N|New only
coagulopathy|N|N|New only
colorectal polyps|N|N|New only
contiguous stage ii adult diffuse large cell lymphoma|N|N|Both
coronary artery bypass surgery|N|N|Both
diabetic neuropathy, painful|N|N|Both
dual diagnosis|N|N|New only
endstage renal disease|N|N|New only
estrogen receptor-negative breast cancer|N|N|New only
female pattern baldness|N|N|New only
focal segmental glomerulosclerosis|N|N|Both
food habits|N|N|New only
gastroesophageal junction cancer|N|N|New only
genital warts|N|N|Both
health promotion|N|N|New only
ibs|N|N|New only
infant nutrition|N|N|Both
infections, respiratory tract|Y|N|New only
irreversible pulpitis|N|N|New only
lifestyle|N|N|New only
localized unresectable adult primary liver cancer|N|N|New only
lymphoplasmacytic lymphoma|N|N|New only
meningococcal infection|N|N|Both
metastatic solid tumors|N|N|Both
miscarriage|N|N|New only
mucinous adenocarcinoma of the rectum|N|N|New only
muscle loss|N|N|New only
muscular dystrophy|N|N|New only
myeloproliferative diseases|N|N|New only
neuroendocrine carcinoma|N|N|New only
neuroendocrine tumor|N|N|Both
non-alcoholic steatohepatitis (nash)|N|N|New only
ovarian epithelial cancer|N|N|New only
ovarian serous adenocarcinoma|N|N|New only
parkinson|N|N|New only
pectus excavatum|N|N|New only
pediatric cancer|N|N|New only
physical inactivity|N|N|Both
plasmodium falciparum|N|N|New only
polypoidal choroidal vasculopathy|N|N|New only
portal vein thrombosis|N|N|New only
premature infants|N|N|Both
prevention harmful effects|N|N|New only
primary central nervous system lymphoma|N|N|New only
primary dysmenorrhea|N|N|Both
primary health care|N|N|New only
progesterone receptor-positive breast cancer|N|N|New only
recurrent adult primary liver cancer|N|N|New only
recurrent childhood anaplastic large cell lymphoma|N|N|New only
recurrent childhood grade iii lymphomatoid granulomatosis|N|N|New only
recurrent childhood medulloblastoma|N|N|New only
recurrent fallopian tube cancer|N|N|New only
recurrent squamous cell carcinoma of the paranasal sinus and nasal cavity|N|N|New only
refractory anemia with excess blasts|N|N|Both
renal calculi|N|N|New only
shingles|N|N|Both
stage i adult diffuse large cell lymphoma|N|N|Both
stage iia pancreatic cancer|N|N|New only
stage iib non-small cell lung cancer|N|N|New only
stage iiib colon cancer|N|N|New only
stage iiib cutaneous melanoma ajcc v7|N|N|New only
stage iiib gastric cancer|N|N|New only
stage iiib melanoma|N|N|New only
stage iiic gastric cancer|N|N|New only
stage iva verrucous carcinoma of the oral cavity|N|N|New only
stage ivb verrucous carcinoma of the oral cavity|N|N|New only
t-cell lymphoma|N|N|New only
testicular cancer|N|N|New only
tobacco cessation|N|N|New only
traumatic brain injury (tbi)|N|N|New only
tumors metastatic to brain|N|N|New only
uncontrolled hypertension|N|N|New only
ureter cancer|N|N|New only
von willebrand disease|N|N|Both
vulvovaginal candidiasis|N|N|New only
achilles tendon rupture|N|N|New only
acute respiratory distress syndrome (ards)|Y|N|New only
adenoid cystic carcinoma|N|N|New only
advanced malignancy|N|N|New only
adverse drug events|N|N|Both
atherosclerotic cardiovascular disease|N|N|New only
autoimmune disease|N|N|New only
autoimmune hepatitis|N|N|Both
balance|N|N|Both
biliary cancer|N|N|Both
biliary stricture|N|N|New only
bone metastasis|N|N|New only
breast cancer female|N|N|New only
caffeine|N|N|New only
cancer of the pancreas|N|N|New only
carotid atherosclerosis|N|N|New only
cerebrovascular disease|N|N|New only
child malnutrition|N|N|New only
childhood immunoblastic large cell lymphoma|N|N|New only
chronic granulomatous disease|N|N|Both
chronic idiopathic urticaria|N|N|New only
chronic kidney disease (ckd)|N|N|New only
chronic myelogenous leukemia (cml)|N|N|New only
chronic renal disease|N|N|New only
chronic subdural hematoma|N|N|New only
cml|N|N|Both
colon carcinoma|N|N|New only
colon polyps|N|N|New only
congenital diaphragmatic hernia|N|N|New only
cryptococcal meningitis|N|N|Both
degenerative arthritis|N|N|New only
development|N|N|New only
dravet syndrome|N|N|New only
edentulous|N|N|New only
end stage kidney disease|N|N|New only
estrogen receptor positive breast cancer|N|N|New only
extensive stage small cell lung cancer|N|N|New only
familial adenomatous polyposis|N|N|Both
fibromyalgia syndrome|N|N|Both
germ cell tumor|N|N|New only
growth failure|N|N|New only
hand osteoarthritis|N|N|New only
hay fever|N|N|Both
healthy adult volunteers|N|N|New only
heart failure with preserved ejection fraction|N|N|New only
heavy menstrual bleeding|N|N|New only
hematological diseases|N|N|New only
hemispatial neglect|N|N|New only
hemophagocytic lymphohistiocytosis|N|N|New only
hepatoma|N|N|Both
her2 positive breast cancer|N|N|New only
human papilloma virus|N|N|New only
human volunteers|N|N|New only
impaired fasting glucose|N|N|Both
infectious disease|N|N|New only
influenza a|N|N|New only
injuries|N|N|New only
injury|N|N|Both
invasive aspergillosis|N|N|New only
ischemic reperfusion injury|N|N|New only
latent tuberculosis infection|N|N|Both
liver transplant|Y|Y|New only
macular hole|N|N|New only
male breast carcinoma|N|N|New only
mania|N|N|Both
metastatic malignant neoplasm in the brain|N|N|New only
metastatic non-small cell lung cancer|N|N|New only
moderate to severe plaque psoriasis|N|N|New only
myelodysplastic syndromes (mds)|N|N|New only
orthopedic surgery|N|N|Both
ovarian clear cell adenocarcinoma|N|N|New only
ovarian mucinous cystadenocarcinoma|N|N|New only
pain relief|N|N|Both
pharmacokinetics of asp015k|N|N|New only
post-ercp acute pancreatitis|N|N|New only
post-traumatic stress disorders|N|N|Both
primary peritoneal serous adenocarcinoma|N|N|New only
progesterone receptor-negative breast cancer|N|N|New only
recurrent adult brain neoplasm|N|N|New only
recurrent cervical carcinoma|N|N|New only
recurrent gastric cancer|N|N|New only
refractory mantle cell lymphoma|N|N|New only
regional anesthesia|N|N|New only
relapsed or refractory multiple myeloma|N|N|Both
renal artery stenosis|N|N|Both
risk behavior|N|N|New only
signet ring adenocarcinoma of the rectum|N|N|New only
social anxiety|N|N|New only
stage i grade 1 follicular lymphoma|N|N|Both
stage i grade 2 follicular lymphoma|N|N|Both
stage i grade 3 follicular lymphoma|N|N|Both
stage iia fallopian tube cancer|N|N|New only
stage iia non-small cell lung cancer|N|N|New only
stage iib fallopian tube cancer|N|N|New only
stage iic fallopian tube cancer|N|N|New only
stage iii ovarian cancer|N|N|New only
stage iiia cutaneous melanoma ajcc v7|N|N|New only
stage iva colorectal cancer|N|N|New only
stage iva squamous cell carcinoma of the larynx|N|N|New only
stage iva squamous cell carcinoma of the lip and oral cavity|N|N|New only
stage iva uterine corpus cancer|N|N|New only
stage iva verrucous carcinoma of the larynx|N|N|New only
stage ivb colorectal cancer|N|N|New only
stage ivb squamous cell carcinoma of the larynx|N|N|New only
stage ivb verrucous carcinoma of the larynx|N|N|New only
supraventricular tachycardia|N|N|New only
thalassemia major|N|N|New only
tooth disease|N|N|New only
tuberous sclerosis complex|N|N|New only
unexplained infertility|N|N|New only
urea cycle disorders|N|N|Both
uterine myoma|N|N|New only
vasomotor symptoms|N|N|Both
vivax malaria|N|N|New only
abdominal surgery|N|N|Both
acute graft versus host disease|Y|Y|New only
acute myeloid leukaemia|N|N|New only
acute myeloid leukemia with multilineage dysplasia following myelodysplastic syndrome|N|N|New only
acute promyelocytic leukemia|N|N|Both
acute respiratory infection|Y|N|Both
adenocarcinoma of the rectum|N|N|New only
adult primary hepatocellular carcinoma|N|N|New only
advanced parkinson's disease|N|N|New only
anal fistula|N|N|Both
bone marrow failure syndromes|N|N|New only
brain neoplasm|N|N|New only
brain tumor, recurrent|N|N|New only
brca1 gene mutation|N|N|New only
brca2 gene mutation|N|N|New only
breastcancer|N|N|New only
c.surgical procedure; cardiac|N|N|New only
carcinoid tumors|N|N|New only
cardiac allograft vasculopathy|N|N|New only
